PERMNO,date,PRC
17778,20051107,89890.00000
17778,20051108,90650.00000
17778,20051109,90440.00000
17778,20051110,90490.00000
17778,20051111,90500.00000
17778,20051114,90140.00000
17778,20051115,89990.00000
17778,20051116,89000.00000
17778,20051117,89700.00000
17778,20051118,89500.00000
17778,20051121,88000.00000
17778,20051122,87390.00000
17778,20051123,88100.00000
17778,20051125,87900.00000
17778,20051128,87800.10156
17778,20051129,88310.10156
17778,20051130,89390.00000
17778,20051201,90880.00000
17778,20051202,90900.00000
17778,20051205,89190.00000
17778,20051206,89900.00000
17778,20051207,89799.89844
17778,20051208,89590.00000
17778,20051209,89525.00000
17778,20051212,89500.00000
17778,20051213,89195.00000
17778,20051214,89200.10156
17778,20051215,89300.10156
17778,20051216,89300.00000
17778,20051219,89000.00000
17778,20051220,88700.10156
17778,20051221,88750.00000
17778,20051222,88400.00000
17778,20051223,88700.00000
17778,20051227,88600.00000
17778,20051228,88500.00000
17778,20051229,88700.00000
17778,20051230,88620.00000
17778,20060103,89300.00000
17778,20060104,89690.00000
17778,20060105,89800.00000
17778,20060106,89500.00000
17778,20060109,89900.00000
17778,20060110,89790.00000
17778,20060111,89410.00000
17778,20060112,89300.00000
17778,20060113,89600.00000
17778,20060117,89300.00000
17778,20060118,89950.00000
17778,20060119,90200.00000
17778,20060120,89500.00000
17778,20060123,89300.00000
17778,20060124,89600.00000
17778,20060125,89850.00000
17778,20060126,89600.00000
17778,20060127,89500.00000
17778,20060130,89290.00000
17778,20060131,89490.00000
17778,20060201,88990.00000
17778,20060202,88690.00000
17778,20060203,88275.00000
17778,20060206,88175.00000
17778,20060207,87700.00000
17778,20060208,87800.00000
17778,20060209,87800.00000
17778,20060210,88000.00000
17778,20060213,88000.00000
17778,20060214,88100.00000
17778,20060215,88000.00000
17778,20060216,87590.00000
17778,20060217,87675.00000
17778,20060221,87390.00000
17778,20060222,87100.10156
17778,20060223,87100.00000
17778,20060224,86950.00000
17778,20060227,87375.00000
17778,20060228,86800.00000
17778,20060301,86900.00000
17778,20060302,87000.00000
17778,20060303,87490.00000
17778,20060306,88100.00000
17778,20060307,88400.00000
17778,20060308,88700.00000
17778,20060309,89800.00000
17778,20060310,89900.00000
17778,20060313,90200.00000
17778,20060314,89750.00000
17778,20060315,89390.00000
17778,20060316,89200.00000
17778,20060317,88800.00000
17778,20060320,89900.00000
17778,20060321,89700.00000
17778,20060322,90000.00000
17778,20060323,90000.00000
17778,20060324,90000.00000
17778,20060327,89900.00000
17778,20060328,89600.20313
17778,20060329,89710.00000
17778,20060330,89660.00000
17778,20060331,90350.00000
17778,20060403,90490.00000
17778,20060404,90090.00000
17778,20060405,89990.00000
17778,20060406,90000.00000
17778,20060407,89200.00000
17778,20060410,88590.00000
17778,20060411,88000.00000
17778,20060412,87363.00000
17778,20060413,86700.00000
17778,20060417,86300.00000
17778,20060418,86100.00000
17778,20060419,86825.00000
17778,20060420,86450.00000
17778,20060421,86600.00000
17778,20060424,86800.00000
17778,20060425,86950.00000
17778,20060426,88700.00000
17778,20060427,88000.00000
17778,20060428,89000.00000
17778,20060501,89650.00000
17778,20060502,89280.00000
17778,20060503,88700.00000
17778,20060504,88000.00000
17778,20060505,88710.00000
17778,20060508,89200.00000
17778,20060509,89899.00000
17778,20060510,89800.00000
17778,20060511,89900.00000
17778,20060512,89503.00000
17778,20060515,89910.00000
17778,20060516,90500.00000
17778,20060517,90650.00000
17778,20060518,92100.00000
17778,20060519,91500.00000
17778,20060522,92900.00000
17778,20060523,91100.00000
17778,20060524,92200.00000
17778,20060525,92010.00000
17778,20060526,92500.00000
17778,20060530,92100.10156
17778,20060531,92290.00000
17778,20060601,91990.00000
17778,20060602,91750.00000
17778,20060605,91800.00000
17778,20060606,91500.00000
17778,20060607,90900.00000
17778,20060608,90401.00000
17778,20060609,90973.00000
17778,20060612,90650.00000
17778,20060613,90500.00000
17778,20060614,90100.00000
17778,20060615,91800.00000
17778,20060616,91600.00000
17778,20060619,92600.00000
17778,20060620,92300.00000
17778,20060621,92500.00000
17778,20060622,91980.00000
17778,20060623,92100.00000
17778,20060626,91500.00000
17778,20060627,91450.00000
17778,20060628,92050.00000
17778,20060629,92200.00000
17778,20060630,91659.00000
17778,20060703,91600.00000
17778,20060705,90200.00000
17778,20060706,90250.00000
17778,20060707,90200.00000
17778,20060710,91000.00000
17778,20060711,90850.00000
17778,20060712,90450.00000
17778,20060713,89700.00000
17778,20060714,89800.00000
17778,20060717,90150.00000
17778,20060718,90200.00000
17778,20060719,90850.00000
17778,20060720,90600.00000
17778,20060721,90200.00000
17778,20060724,91000.00000
17778,20060725,90550.00000
17778,20060726,91190.00000
17778,20060727,91180.00000
17778,20060728,91490.00000
17778,20060731,91600.00000
17778,20060801,91501.00000
17778,20060802,91500.00000
17778,20060803,91300.00000
17778,20060804,91710.00000
17778,20060807,92700.00000
17778,20060808,93000.00000
17778,20060809,92800.00000
17778,20060810,93100.00000
17778,20060811,93100.00000
17778,20060814,92685.00000
17778,20060815,92700.00000
17778,20060816,94550.00000
17778,20060817,94450.10156
17778,20060818,95300.10156
17778,20060821,95800.00000
17778,20060822,95300.00000
17778,20060823,95100.00000
17778,20060824,96300.00000
17778,20060825,96000.00000
17778,20060828,95900.10156
17778,20060829,96000.00000
17778,20060830,95801.00000
17778,20060831,96097.00000
17778,20060901,96000.00000
17778,20060905,96400.00000
17778,20060906,96051.00000
17778,20060907,95990.00000
17778,20060908,96100.00000
17778,20060911,96200.00000
17778,20060912,96490.00000
17778,20060913,96750.00000
17778,20060914,96900.00000
17778,20060915,96400.00000
17778,20060918,95500.00000
17778,20060919,94500.00000
17778,20060920,94880.00000
17778,20060921,94201.00000
17778,20060922,93690.00000
17778,20060925,93525.00000
17778,20060926,94400.00000
17778,20060927,95000.00000
17778,20060928,95200.00000
17778,20060929,95800.00000
17778,20061002,95800.00000
17778,20061003,97473.00000
17778,20061004,97699.00000
17778,20061005,98995.00000
17778,20061006,98400.00000
17778,20061009,98500.00000
17778,20061010,99390.00000
17778,20061011,99310.00000
17778,20061012,99825.00000
17778,20061013,98600.00000
17778,20061016,98900.00000
17778,20061017,98750.00000
17778,20061018,99425.00000
17778,20061019,99980.00000
17778,20061020,99900.00000
17778,20061023,100000.00000
17778,20061024,100600.00000
17778,20061025,101900.00000
17778,20061026,104700.00000
17778,20061027,103300.00000
17778,20061030,104500.00000
17778,20061031,105475.00000
17778,20061101,104790.00000
17778,20061102,104106.00000
17778,20061103,105000.00000
17778,20061106,107200.00000
17778,20061107,107000.00000
17778,20061108,107850.00000
17778,20061109,107200.00000
17778,20061110,107000.00000
17778,20061113,106350.00000
17778,20061114,106475.00000
17778,20061115,107400.00000
17778,20061116,106801.00000
17778,20061117,106800.00000
17778,20061120,107300.20313
17778,20061121,107400.00000
17778,20061122,107700.10156
17778,20061124,107610.00000
17778,20061127,106300.00000
17778,20061128,105700.00000
17778,20061129,105590.00000
17778,20061130,107100.00000
17778,20061201,106900.00000
17778,20061204,107200.10156
17778,20061205,108000.00000
17778,20061206,108995.00000
17778,20061207,107410.00000
17778,20061208,107050.00000
17778,20061211,107300.00000
17778,20061212,108800.00000
17778,20061213,109800.00000
17778,20061214,110100.00000
17778,20061215,113700.00000
17778,20061218,113450.00000
17778,20061219,113200.00000
17778,20061220,111420.00000
17778,20061221,110000.00000
17778,20061222,109700.00000
17778,20061226,110000.00000
17778,20061227,110100.00000
17778,20061228,110000.00000
17778,20061229,109990.00000
17778,20070103,109000.00000
17778,20070104,108850.00000
17778,20070105,107200.00000
17778,20070108,107500.13281
17778,20070109,109350.00000
17778,20070110,109490.00000
17778,20070111,110000.00000
17778,20070112,110000.00000
17778,20070116,108850.00000
17778,20070117,108600.00000
17778,20070118,109050.00000
17778,20070119,109450.00000
17778,20070122,109100.00000
17778,20070123,108650.00000
17778,20070124,107675.00000
17778,20070125,107300.00000
17778,20070126,106700.00000
17778,20070129,108200.00000
17778,20070130,108940.00000
17778,20070131,110050.00000
17778,20070201,110600.00000
17778,20070202,109200.00000
17778,20070205,108800.00000
17778,20070206,109100.00000
17778,20070207,108601.00000
17778,20070208,108800.00000
17778,20070209,109101.00000
17778,20070212,108740.00000
17778,20070213,108200.00000
17778,20070214,108500.00000
17778,20070215,106710.00000
17778,20070216,108450.00000
17778,20070220,108900.00000
17778,20070221,107700.00000
17778,20070222,107360.00000
17778,20070223,106800.00000
17778,20070226,106800.00000
17778,20070227,105100.00000
17778,20070228,106190.00000
17778,20070301,106600.00000
17778,20070302,107000.00000
17778,20070305,106401.00000
17778,20070306,107300.00000
17778,20070307,108000.00000
17778,20070308,108990.00000
17778,20070309,109290.00000
17778,20070312,109200.00000
17778,20070313,108190.00000
17778,20070314,106800.00000
17778,20070315,106600.00000
17778,20070316,105310.00000
17778,20070319,107700.00000
17778,20070320,107998.00000
17778,20070321,109005.00000
17778,20070322,108000.10156
17778,20070323,108000.00000
17778,20070326,108200.00000
17778,20070327,108300.00000
17778,20070328,108290.00000
17778,20070329,107900.00000
17778,20070330,108990.00000
17778,20070402,108000.00000
17778,20070403,108295.00000
17778,20070404,108550.00000
17778,20070405,108849.00000
17778,20070409,109000.00000
17778,20070410,109800.00000
17778,20070411,109750.00000
17778,20070412,109750.00000
17778,20070413,109900.00000
17778,20070416,110000.00000
17778,20070417,109900.00000
17778,20070418,109725.00000
17778,20070419,109400.00000
17778,20070420,109500.00000
17778,20070423,109550.00000
17778,20070424,108850.00000
17778,20070425,108750.00000
17778,20070426,109400.00000
17778,20070427,109000.00000
17778,20070430,109200.00000
17778,20070501,108301.10156
17778,20070502,108600.00000
17778,20070503,108600.00000
17778,20070504,109250.00000
17778,20070507,110490.00000
17778,20070508,108501.10156
17778,20070509,109175.00000
17778,20070510,109200.00000
17778,20070511,110000.00000
17778,20070514,109350.00000
17778,20070515,109250.00000
17778,20070516,109000.00000
17778,20070517,108600.00000
17778,20070518,108351.00000
17778,20070521,109000.00000
17778,20070522,109580.00000
17778,20070523,109500.00000
17778,20070524,109100.00000
17778,20070525,109320.00000
17778,20070529,109200.00000
17778,20070530,109200.00000
17778,20070531,109490.00000
17778,20070601,109255.00000
17778,20070604,109700.00000
17778,20070605,109250.20313
17778,20070606,109055.00000
17778,20070607,109700.00000
17778,20070608,109340.00000
17778,20070611,109400.00000
17778,20070612,109500.00000
17778,20070613,109600.00000
17778,20070614,109300.10156
17778,20070615,109100.00000
17778,20070618,109000.00000
17778,20070619,108920.00000
17778,20070620,108500.00000
17778,20070621,108000.00000
17778,20070622,107400.00000
17778,20070625,107395.00000
17778,20070626,107300.10156
17778,20070627,107400.00000
17778,20070628,108900.00000
17778,20070629,109475.00000
17778,20070702,110000.00000
17778,20070703,110000.00000
17778,20070705,110970.00000
17778,20070706,111500.00000
17778,20070709,112000.00000
17778,20070710,111800.00000
17778,20070711,111000.00000
17778,20070712,110720.00000
17778,20070713,110710.00000
17778,20070716,110560.00000
17778,20070717,110500.00000
17778,20070718,110350.00000
17778,20070719,110300.00000
17778,20070720,110200.00000
17778,20070723,110300.00000
17778,20070724,110000.00000
17778,20070725,110290.00000
17778,20070726,109850.00000
17778,20070727,110400.00000
17778,20070730,109650.00000
17778,20070731,110000.00000
17778,20070801,109550.00000
17778,20070802,110000.00000
17778,20070803,109900.00000
17778,20070806,112000.00000
17778,20070807,112690.00000
17778,20070808,112995.00000
17778,20070809,112200.00000
17778,20070810,111600.00000
17778,20070813,111500.00000
17778,20070814,110150.00000
17778,20070815,111200.00000
17778,20070816,113750.00000
17778,20070817,118500.00000
17778,20070820,120700.00000
17778,20070821,119800.00000
17778,20070822,118000.00000
17778,20070823,118800.00000
17778,20070824,119850.00000
17778,20070827,119000.00000
17778,20070828,118775.00000
17778,20070829,118750.00000
17778,20070830,118510.00000
17778,20070831,118390.00000
17778,20070904,119300.00000
17778,20070905,119500.00000
17778,20070906,120000.00000
17778,20070907,119500.00000
17778,20070910,118300.00000
17778,20070911,118800.00000
17778,20070912,118100.00000
17778,20070913,118900.00000
17778,20070914,120000.00000
17778,20070917,118500.00000
17778,20070918,118700.00000
17778,20070919,117700.00000
17778,20070920,117400.00000
17778,20070921,117100.00000
17778,20070924,116900.00000
17778,20070925,116890.00000
17778,20070926,116990.00000
17778,20070927,117200.00000
17778,20070928,118510.00000
17778,20071001,118790.00000
17778,20071002,119799.00000
17778,20071003,119290.00000
17778,20071004,119000.00000
17778,20071005,121100.00000
17778,20071008,123390.00000
17778,20071009,122615.00000
17778,20071010,124700.00000
17778,20071011,125500.00000
17778,20071012,127100.00000
17778,20071015,126200.00000
17778,20071016,127200.00000
17778,20071017,129995.00000
17778,20071018,129000.00000
17778,20071019,127100.00000
17778,20071022,126400.00000
17778,20071023,127990.00000
17778,20071024,127800.00000
17778,20071025,127500.00000
17778,20071026,127500.00000
17778,20071029,128210.00000
17778,20071030,128800.00000
17778,20071031,132500.00000
17778,20071101,131250.00000
17778,20071102,132500.00000
17778,20071105,133000.00000
17778,20071106,133800.00000
17778,20071107,134940.00000
17778,20071108,134575.00000
17778,20071109,132210.00000
17778,20071112,133710.00000
17778,20071113,135700.00000
17778,20071114,137500.00000
17778,20071115,135300.00000
17778,20071116,136475.00000
17778,20071119,136500.00000
17778,20071120,136500.00000
17778,20071121,134000.00000
17778,20071123,134100.00000
17778,20071126,136600.00000
17778,20071127,137480.00000
17778,20071128,137700.00000
17778,20071129,139200.00000
17778,20071130,140100.00000
17778,20071203,143200.00000
17778,20071204,144700.00000
17778,20071205,147500.00000
17778,20071206,148300.00000
17778,20071207,148220.00000
17778,20071210,149200.00000
17778,20071211,148900.00000
17778,20071212,144000.00000
17778,20071213,142400.00000
17778,20071214,143000.00000
17778,20071217,136400.00000
17778,20071218,135400.00000
17778,20071219,134500.00000
17778,20071220,134000.00000
17778,20071221,134000.00000
17778,20071224,137980.00000
17778,20071226,138500.00000
17778,20071227,137800.00000
17778,20071228,141100.00000
17778,20071231,141600.00000
17778,20080102,139300.00000
17778,20080103,139600.00000
17778,20080104,135500.00000
17778,20080107,133700.00000
17778,20080108,133685.00000
17778,20080109,130400.00000
17778,20080110,134200.00000
17778,20080111,132100.00000
17778,20080114,130410.10156
17778,20080115,129100.00000
17778,20080116,126400.00000
17778,20080117,131200.00000
17778,20080118,131200.00000
17778,20080122,135500.00000
17778,20080123,138500.00000
17778,20080124,138400.00000
17778,20080125,139100.00000
17778,20080128,138400.00000
17778,20080129,139700.00000
17778,20080130,139000.00000
17778,20080131,136000.00000
17778,20080201,135700.00000
17778,20080204,135800.00000
17778,20080205,136500.00000
17778,20080206,135400.00000
17778,20080207,135900.00000
17778,20080208,138400.00000
17778,20080211,139950.00000
17778,20080212,139700.00000
17778,20080213,143980.00000
17778,20080214,142990.00000
17778,20080215,143500.00000
17778,20080219,143200.00000
17778,20080220,143290.00000
17778,20080221,141105.00000
17778,20080222,139400.00000
17778,20080225,139700.00000
17778,20080226,139200.00000
17778,20080227,140700.00000
17778,20080228,140250.00000
17778,20080229,140000.00000
17778,20080303,136500.00000
17778,20080304,137100.00000
17778,20080305,139000.00000
17778,20080306,135500.00000
17778,20080307,133805.00000
17778,20080310,131400.00000
17778,20080311,131940.00000
17778,20080312,130900.00000
17778,20080313,130300.00000
17778,20080314,129360.00000
17778,20080317,128000.00000
17778,20080318,128900.00000
17778,20080319,128490.00000
17778,20080320,130230.00000
17778,20080324,130250.00000
17778,20080325,129200.00000
17778,20080326,128490.00000
17778,20080327,130250.00000
17778,20080328,133900.00000
17778,20080331,133400.00000
17778,20080401,132900.00000
17778,20080402,131550.00000
17778,20080403,130800.00000
17778,20080404,130800.00000
17778,20080407,132475.00000
17778,20080408,132000.00000
17778,20080409,131450.00000
17778,20080410,131240.00000
17778,20080411,130300.00000
17778,20080414,128515.00000
17778,20080415,128600.00000
17778,20080416,129475.00000
17778,20080417,128540.00000
17778,20080418,128600.00000
17778,20080421,128200.00000
17778,20080422,127200.00000
17778,20080423,127200.00000
17778,20080424,126750.00000
17778,20080425,126875.00000
17778,20080428,128460.00000
17778,20080429,131450.00000
17778,20080430,133850.00000
17778,20080501,133900.00000
17778,20080502,133600.00000
17778,20080505,130000.00000
17778,20080506,130200.00000
17778,20080507,128400.00000
17778,20080508,129000.00000
17778,20080509,125200.00000
17778,20080512,122800.00000
17778,20080513,124000.00000
17778,20080514,123500.10156
17778,20080515,121510.00000
17778,20080516,122400.00000
17778,20080519,123950.00000
17778,20080520,123300.00000
17778,20080521,121600.00000
17778,20080522,123100.00000
17778,20080523,123970.00000
17778,20080527,127910.00000
17778,20080528,129500.00000
17778,20080529,132200.00000
17778,20080530,134650.00000
17778,20080602,132350.00000
17778,20080603,134000.00000
17778,20080604,132989.90625
17778,20080605,130500.00000
17778,20080606,129400.00000
17778,20080609,127100.00000
17778,20080610,126525.00000
17778,20080611,126300.00000
17778,20080612,126690.00000
17778,20080613,127000.00000
17778,20080616,125800.00000
17778,20080617,125870.00000
17778,20080618,125400.00000
17778,20080619,124990.00000
17778,20080620,124000.00000
17778,20080623,122490.00000
17778,20080624,122700.00000
17778,20080625,122000.00000
17778,20080626,120710.00000
17778,20080627,120600.00000
17778,20080630,120750.00000
17778,20080701,120100.00000
17778,20080702,118665.00000
17778,20080703,116700.00000
17778,20080707,118440.00000
17778,20080708,118750.00000
17778,20080709,119400.00000
17778,20080710,119250.00000
17778,20080711,117500.00000
17778,20080714,116000.00000
17778,20080715,114810.00000
17778,20080716,114950.00000
17778,20080717,116200.00000
17778,20080718,117290.00000
17778,20080721,117900.00000
17778,20080722,118400.00000
17778,20080723,118450.00000
17778,20080724,115250.00000
17778,20080725,113000.00000
17778,20080728,111900.00000
17778,20080729,111750.00000
17778,20080730,113900.00000
17778,20080731,114450.00000
17778,20080801,116500.00000
17778,20080804,114500.00000
17778,20080805,115460.00000
17778,20080806,116100.00000
17778,20080807,115475.00000
17778,20080808,115750.00000
17778,20080811,117800.00000
17778,20080812,116800.00000
17778,20080813,114440.00000
17778,20080814,116200.00000
17778,20080815,120100.00000
17778,20080818,117100.00000
17778,20080819,116750.00000
17778,20080820,116690.00000
17778,20080821,115000.00000
17778,20080822,116100.00000
17778,20080825,115350.00000
17778,20080826,115000.00000
17778,20080827,115300.00000
17778,20080828,117740.00000
17778,20080829,116600.00000
17778,20080902,119999.00000
17778,20080903,120299.89844
17778,20080904,119350.00000
17778,20080905,118100.00000
17778,20080908,119650.00000
17778,20080909,118000.00000
17778,20080910,117000.00000
17778,20080911,117500.00000
17778,20080912,119500.00000
17778,20080915,119900.00000
17778,20080916,125000.00000
17778,20080917,124800.00000
17778,20080918,128010.00000
17778,20080919,147000.00000
17778,20080922,131000.00000
17778,20080923,128800.00000
17778,20080924,133300.00000
17778,20080925,133100.00000
17778,20080926,135000.00000
17778,20080929,133800.00000
17778,20080930,130600.00000
17778,20081001,137000.00000
17778,20081002,137900.00000
17778,20081003,138500.00000
17778,20081006,130800.00000
17778,20081007,124000.00000
17778,20081008,118000.00000
17778,20081009,114000.00000
17778,20081010,113100.00000
17778,20081013,118000.00000
17778,20081014,118850.00000
17778,20081015,113400.00000
17778,20081016,113150.00000
17778,20081017,119800.00000
17778,20081020,123500.00000
17778,20081021,121550.00000
17778,20081022,117950.00000
17778,20081023,115100.00000
17778,20081024,111900.00000
17778,20081027,105126.00000
17778,20081028,107900.00000
17778,20081029,110400.00000
17778,20081030,111700.00000
17778,20081031,115490.00000
17778,20081103,117500.00000
17778,20081104,118400.10156
17778,20081105,117100.00000
17778,20081106,112200.00000
17778,20081107,113000.00000
17778,20081110,109999.00000
17778,20081111,106720.00000
17778,20081112,103333.00000
17778,20081113,102800.00000
17778,20081114,101000.00000
17778,20081117,95615.00000
17778,20081118,95550.00000
17778,20081119,84000.00000
17778,20081120,77500.00000
17778,20081121,90000.00000
17778,20081124,87500.00000
17778,20081125,96400.00000
17778,20081126,100700.00000
17778,20081128,104000.00000
17778,20081201,98000.00000
17778,20081202,101499.00000
17778,20081203,102000.00000
17778,20081204,98400.00000
17778,20081205,102700.00000
17778,20081208,107000.00000
17778,20081209,107500.00000
17778,20081210,104590.00000
17778,20081211,99500.00000
17778,20081212,98390.00000
17778,20081215,94951.00000
17778,20081216,101300.00000
17778,20081217,99000.00000
17778,20081218,97800.00000
